assets,assets_check,billsred,capital,cchdufrm,circulation,city,county,diff,diff1,diffA,diffL,fips,id,id_old,liabs_check,loans,name,otherassets,otherliabs,othsec,profits,surpro,totdep,ussec,year,loanAssetRatio
1165572,1165572,0.0,50000,483130,0.0,Albemarle,Stanly,0.0,0.0,,,37167,1001,,1165572,331003,first,45299,0.0,199715,23099.0,30000.0,1062473,106425.0,1939,0.28398331463007004
1852846,1852846,0.0,95000,915528,0.0,Asheboro,Randolph,0.0,0.0,,,37151,1002,,1852846,543949,first,24501,4671.0,204521,37761.0,55000.0,1660414,164347.0,1939,0.2935748572736212
4422025,4422025,0.0,200000,1841743,0.0,Asheville,Buncombe,0.0,0.0,,,37021,1100,,4422025,1822874,first nb & tc,90041,7806.0,255742,44864.0,162500.0,4006855,411625.0,1939,0.4122260728964671
549785,549785,0.0,25000,331402,0.0,Ayden,Pitt,0.0,0.0,,,37147,1101,,549785,42207,first,10046,3191.0,99656,5759.0,15000.0,500835,66474.0,1939,0.07677001009485526
3079332,3079332,0.0,100000,1204983,0.0,Burlington,Alamance,0.0,0.0,,,37001,1102,,3079332,983340,nb,36151,10000.0,402227,3643.0,200000.0,2765689,452631.0,1939,0.31933549224312285
15310005,15310005,0.0,500000,7399416,0.0,Charlotte,Mecklenburg,0.0,0.0,,,37119,1009,,15310005,4868726,commercial,396937,20000.0,477961,221146.0,410000.0,14158859,2166965.0,1939,0.3180094323940456
8682752,8682752,0.0,300000,2951426,0.0,Charlotte,Mecklenburg,0.0,0.0,,,37119,1011,,8682752,3068395,union,354080,76321.0,539746,319112.0,300000.0,7687319,1769105.0,1939,0.35338968566647994
2537392,2537392,0.0,100000,1008250,0.0,Concord,Cabarrus,0.0,0.0,,,37025,1013,,2537392,758404,concord,91800,0.0,496818,95362.0,200000.0,2142030,182120.0,1939,0.2988911449236066
1848493,1848493,0.0,150000,702791,0.0,Durham ,Durham,0.0,0.0,,,37063,1015,,1848493,615410,citizens,164778,2718.0,80377,30401.0,38500.0,1626874,285137.0,1939,0.3329252531656869
2650388,2650388,0.0,200000,1050120,0.0,Durham ,Durham,0.0,0.0,,,37063,1103,,2650388,517783,depositors,210626,4183.0,503921,59000.0,135000.0,2252205,367938.0,1939,0.1953612074911296
3488335,3488335,0.0,215000,1280528,0.0,Elizabeth City,Pasquotank,0.0,0.0,,,37139,1016,,3488335,1374165,first & citizens,219056,0.0,202984,85541.0,43000.0,3144794,411602.0,1939,0.393931488804831
3807072,3807072,0.0,200000,1381313,0.0,Gastonia,Gaston,0.0,0.0,,,37071,1105,,3807072,1907155,citizens nb (in) (charter 13779),84769,8132.0,271722,56363.0,52500.0,3490077,162113.0,1939,0.5009505993057132
1182827,1182827,0.0,50000,490687,0.0,Graham,Alamance,0.0,0.0,,,37001,1024,,1182827,218624,national bank of Alamance,25642,0.0,174159,19643.0,50000.0,1063184,273715.0,1939,0.18483176322488412
16175814,16175814,0.0,800000,6861020,0.0,Greensboro,Guilford,0.0,0.0,,,37081,1106,,16175814,6224525,security,139718,50369.0,1865067,107329.0,350000.0,14868116,1085484.0,1939,0.38480443704409556
1576603,1576603,0.0,150000,529211,0.0,Henderson,Vance,0.0,0.0,,,37181,1107,,1576603,333690,first,68849,5563.0,269354,22017.0,34500.0,1364523,375499.0,1939,0.21165125272500432
